subject_id	best_seed	pident	align_len_merged_query	align_len_merged_subject	query_coverage	subject_coverage	evalue	bitscore	seed_len	protein_len	hsp_count
DhA01G030330.1	tr|A0A089WU92|A0A089WU92_KALFE	33.824	266	265	0.978	0.597	7.000e-44	155.0	272	444	1
DhA01G030460.1	tr|Q9S759|Q9S759_KALFE	28.622	250	277	0.912	0.323	4.680e-31	123.0	274	858	1
DhA01G030550.1	tr|A0A089WU92|A0A089WU92_KALFE	30.258	247	264	0.908	0.469	1.340e-13	72.0	272	563	1
DhA02G002220.1	sp|Q9SPK4|PPCK1_ARATH	30.952	241	238	0.849	0.438	2.280e-23	100.0	284	543	1
DhA02G003960.1	tr|A0A3L6FW63|A0A3L6FW63_MAIZE	34.711	118	115	0.401	0.145	1.110e-11	67.0	294	793	1
DhA02G004480.1	tr|Q5EC59|Q5EC59_MAIZE	28.571	160	165	0.559	0.170	3.100e-12	68.6	286	969	1
DhA02G005390.1	tr|A0A089WU92|A0A089WU92_KALFE	42.701	268	272	0.985	0.522	7.200e-72	230.0	272	521	1
DhA02G006130.1	tr|A0A089WU92|A0A089WU92_KALFE	34.815	260	259	0.956	0.295	9.800e-43	157.0	272	877	1
DhA02G006400.1	sp|Q9SPK4|PPCK1_ARATH	24.390	263	313	0.926	0.434	8.660e-12	67.0	284	721	1
DhA02G006740.1	sp|Q9SPK4|PPCK1_ARATH	25.360	270	340	0.951	0.793	1.660e-18	86.3	284	429	1
DhA02G007900.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	28.571	279	255	0.930	0.271	2.900e-25	107.0	300	940	1
DhA02G008250.1	tr|Q5EC59|Q5EC59_MAIZE	32.973	175	168	0.612	0.468	7.400e-17	81.3	286	359	1
DhA02G009440.1	tr|Q9S759|Q9S759_KALFE	34.211	256	254	0.934	0.501	1.650e-38	142.0	274	507	1
DhA02G010050.1	tr|Q9S759|Q9S759_KALFE	32.039	197	204	0.719	0.429	1.740e-20	92.0	274	476	1
DhA02G010130.1	tr|Q5EC59|Q5EC59_MAIZE	31.395	170	164	0.594	0.274	2.050e-19	89.7	286	599	1
DhA02G010810.1	tr|A0A089WU92|A0A089WU92_KALFE	33.462	258	254	0.949	0.386	1.800e-44	160.0	272	658	1
DhA02G011130.1	tr|A0A089WU92|A0A089WU92_KALFE	26.794	198	201	0.728	0.222	6.180e-13	70.1	272	907	1
DhA02G011740.1	tr|Q2ABP5|Q2ABP5_ORYSJ	27.193	220	218	0.772	0.433	4.800e-13	70.5	285	503	1
DhA02G012130.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	31.058	289	258	0.963	0.555	1.400e-17	84.3	300	465	1
DhA02G012150.1	tr|Q9S759|Q9S759_KALFE	30.769	269	260	0.982	0.605	5.170e-20	90.5	274	430	1
DhA02G012160.1	tr|Q9S759|Q9S759_KALFE	30.483	265	257	0.967	0.544	7.720e-22	95.9	274	472	1
DhA02G013310.1	sp|Q93VK0|PPCK2_ARATH	32.667	145	147	0.522	0.181	1.160e-13	72.4	278	811	1
DhA02G013460.1	tr|Q9S759|Q9S759_KALFE	30.846	191	195	0.697	0.247	4.290e-11	64.7	274	788	1
DhA02G013690.1	sp|Q9SPK4|PPCK1_ARATH	29.712	270	303	0.951	0.516	1.110e-21	96.3	284	587	1
DhA02G014630.1	tr|Q9S759|Q9S759_KALFE	40.351	113	114	0.412	0.292	6.260e-18	84.3	274	390	1
DhA02G014960.1	sp|Q9SPK4|PPCK1_ARATH	29.167	270	303	0.951	0.494	1.740e-19	89.7	284	613	1
DhA02G015350.1	tr|A0A089WU92|A0A089WU92_KALFE	43.590	268	270	0.985	0.525	1.180e-69	224.0	272	514	1
DhA02G016260.1	tr|A0A3L6FW63|A0A3L6FW63_MAIZE	29.612	193	194	0.656	0.398	6.090e-11	64.3	294	488	1
DhA02G016700.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	27.737	266	267	0.887	0.690	1.350e-23	100.0	300	387	1
DhA02G018030.1	tr|Q9S759|Q9S759_KALFE	41.758	91	91	0.332	0.166	1.320e-12	68.9	274	548	1
DhA02G018130.1	tr|Q9S759|Q9S759_KALFE	26.923	198	201	0.723	0.308	1.930e-11	65.9	274	652	1
DhA02G018250.1	tr|Q9S759|Q9S759_KALFE	35.897	264	263	0.964	0.583	9.080e-45	158.0	274	451	1
DhA02G018730.1	tr|A0A089WU92|A0A089WU92_KALFE	34.286	100	104	0.368	0.131	1.160e-11	66.2	272	796	1
DhA02G019230.1	tr|Q5EC58|Q5EC58_MAIZE	26.910	278	279	0.933	0.746	1.540e-25	105.0	298	374	1
DhA02G019740.1	tr|A0A3L6FW63|A0A3L6FW63_MAIZE	42.056	104	101	0.354	0.142	1.540e-11	66.2	294	709	1
DhA02G020630.1	sp|Q9SPK4|PPCK1_ARATH	28.629	241	231	0.849	0.412	5.970e-21	94.0	284	560	1
DhA02G020940.1	tr|Q9S759|Q9S759_KALFE	27.273	239	234	0.872	0.294	5.100e-12	67.4	274	795	1
DhA02G022480.1	sp|Q93VK0|PPCK2_ARATH	31.034	253	279	0.910	0.732	9.170e-26	106.0	278	381	1
DhA02G022700.1	tr|A0A089WU92|A0A089WU92_KALFE	33.813	265	264	0.974	0.574	4.280e-47	164.0	272	460	1
DhA02G024440.1	sp|Q9SPK4|PPCK1_ARATH	27.425	263	289	0.926	0.615	6.290e-25	105.0	284	470	1
DhA02G024690.1	tr|A0A089WU92|A0A089WU92_KALFE	37.405	130	130	0.478	0.524	1.540e-19	86.7	272	248	1
DhA02G024810.1	tr|Q9S759|Q9S759_KALFE	30.144	192	207	0.701	0.206	1.260e-11	66.2	274	1005	1
DhA02G025640.1	tr|A0A3L6FW63|A0A3L6FW63_MAIZE	38.835	100	97	0.340	0.127	1.340e-12	69.7	294	761	1
DhA02G025650.1	tr|Q9S759|Q9S759_KALFE	27.350	225	218	0.821	0.286	5.450e-13	70.5	274	762	1
DhA02G026300.1	tr|A0A089WU92|A0A089WU92_KALFE	33.700	264	262	0.971	0.563	6.780e-47	164.0	272	465	1
DhA02G026340.1	sp|Q93VK0|PPCK2_ARATH	32.872	253	279	0.910	0.686	1.790e-27	111.0	278	407	1
DhA02G026500.1	tr|Q5EC59|Q5EC59_MAIZE	29.412	181	185	0.633	0.325	8.630e-19	87.8	286	570	1
DhA02G026520.1	tr|Q9S759|Q9S759_KALFE	30.000	213	216	0.777	0.310	1.080e-22	99.0	274	697	1
DhA02G026940.1	tr|A0A089WU92|A0A089WU92_KALFE	34.340	263	258	0.967	0.884	5.600e-50	167.0	272	292	1
DhA02G027110.1	tr|A0A089WU92|A0A089WU92_KALFE	30.380	257	308	0.945	0.566	3.860e-33	128.0	272	544	1
DhA02G029160.1	tr|Q6K1R8|Q6K1R8_ORYSJ	30.000	203	196	0.653	0.303	7.680e-11	64.7	311	647	1
DhA02G029170.1	tr|Q9S759|Q9S759_KALFE	30.583	197	199	0.719	0.316	4.370e-11	64.7	274	630	1
DhA02G029180.1	tr|Q9S759|Q9S759_KALFE	29.126	197	199	0.719	0.312	2.820e-11	65.1	274	637	1
DhA02G030550.1	tr|Q2ABR7|Q2ABR7_ORYSJ	26.016	240	230	0.822	0.623	1.500e-17	83.6	292	369	1
DhA03G000450.1	tr|Q2ABR6|Q2ABR6_ORYSJ	26.136	257	247	0.843	0.668	4.930e-17	82.0	305	370	1
DhA03G000770.1	tr|Q2ABR6|Q2ABR6_ORYSJ	27.570	207	196	0.679	0.290	4.210e-12	68.2	305	675	1
DhA03G000790.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	27.232	215	196	0.717	0.303	8.670e-11	64.3	300	647	1
DhA03G002710.1	tr|Q9S759|Q9S759_KALFE	28.163	235	233	0.858	0.284	3.150e-15	77.0	274	821	1
DhA03G003840.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	30.986	139	140	0.463	0.290	7.130e-12	67.4	300	482	1
DhA03G004550.1	tr|Q5EC59|Q5EC59_MAIZE	27.778	255	312	0.892	0.507	4.040e-30	120.0	286	615	1
DhA03G004710.1	tr|A0A089WU92|A0A089WU92_KALFE	32.453	263	248	0.967	0.734	7.030e-43	150.0	272	338	1
DhA03G005200.1	tr|Q9S759|Q9S759_KALFE	30.000	213	216	0.777	0.309	1.040e-22	99.0	274	700	1
DhA03G005210.1	tr|Q5EC59|Q5EC59_MAIZE	30.952	166	166	0.580	0.293	4.460e-20	91.7	286	567	1
DhA03G005390.1	tr|Q2ABR6|Q2ABR6_ORYSJ	27.966	230	218	0.754	0.249	1.710e-12	69.7	305	876	1
DhA03G005440.1	sp|Q93VK0|PPCK2_ARATH	32.526	253	279	0.910	0.687	1.400e-26	108.0	278	406	1
DhA03G005460.1	tr|A0A089WU92|A0A089WU92_KALFE	33.582	264	262	0.971	0.517	1.830e-44	158.0	272	507	1
DhA03G005480.1	tr|A0A089WU92|A0A089WU92_KALFE	32.971	267	265	0.982	0.570	3.550e-46	162.0	272	465	1
DhA03G006660.1	tr|Q2ABP5|Q2ABP5_ORYSJ	28.959	213	211	0.747	0.472	7.690e-13	69.7	285	447	1
DhA03G007380.1	tr|Q9S759|Q9S759_KALFE	30.693	192	196	0.701	0.563	3.690e-12	67.4	274	348	1
DhA03G007510.1	sp|Q9SPK4|PPCK1_ARATH	27.245	283	313	0.996	0.511	2.300e-24	103.0	284	613	1
DhA03G007890.1	tr|Q9S759|Q9S759_KALFE	30.224	256	253	0.934	0.188	5.000e-27	112.0	274	1346	1
DhA03G009390.1	tr|A0A089WU92|A0A089WU92_KALFE	33.708	262	261	0.963	0.560	5.160e-46	161.0	272	466	1
DhA03G009500.1	sp|Q9SPK4|PPCK1_ARATH	29.537	252	278	0.887	0.676	2.470e-25	105.0	284	411	1
DhA03G011580.1	sp|Q9SPK4|PPCK1_ARATH	27.152	269	293	0.947	0.387	4.870e-15	76.6	284	758	1
DhA03G011590.1	sp|Q9SPK4|PPCK1_ARATH	26.667	269	293	0.947	0.460	1.980e-14	74.7	284	637	1
DhA03G011700.1	tr|Q9S759|Q9S759_KALFE	32.143	214	217	0.781	0.397	1.520e-23	101.0	274	547	1
DhA03G012400.1	tr|Q5EC59|Q5EC59_MAIZE	59.259	81	70	0.283	0.680	1.710e-20	85.5	286	103	1
DhA03G012640.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	30.800	240	226	0.800	0.278	1.360e-14	75.9	300	812	1
DhA03G012990.1	tr|Q2ABR7|Q2ABR7_ORYSJ	28.674	272	261	0.932	0.733	1.130e-26	108.0	292	356	1
DhA03G013860.1	tr|Q9S759|Q9S759_KALFE	26.829	195	198	0.712	0.303	2.340e-11	65.5	274	654	1
DhA03G014260.1	sp|Q93VK0|PPCK2_ARATH	35.912	181	175	0.651	0.729	1.730e-34	126.0	278	240	1
DhA03G014980.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	28.102	266	267	0.887	0.690	1.930e-24	103.0	300	387	1
DhA03G015710.1	tr|Q5EC59|Q5EC59_MAIZE	32.117	258	262	0.902	0.764	2.790e-22	96.3	286	343	1
DhA03G016730.1	sp|Q9SPK4|PPCK1_ARATH	28.115	270	303	0.951	0.489	1.540e-19	90.1	284	619	1
DhA03G017100.1	tr|Q5EC59|Q5EC59_MAIZE	34.932	143	144	0.500	0.373	1.250e-17	83.6	286	386	1
DhA03G017200.1	sp|Q9SPK4|PPCK1_ARATH	27.564	269	302	0.947	0.591	1.230e-19	90.1	284	511	1
DhA03G018090.1	sp|Q9SPK4|PPCK1_ARATH	29.073	270	303	0.951	0.502	6.300e-22	97.1	284	603	1
DhA03G018410.1	tr|Q5EC59|Q5EC59_MAIZE	24.809	251	250	0.878	0.308	6.050e-13	70.5	286	812	1
DhA03G019600.1	tr|Q2ABP5|Q2ABP5_ORYSJ	27.193	220	218	0.772	0.461	2.210e-13	71.6	285	473	1
DhA03G020640.1	tr|Q9S759|Q9S759_KALFE	41.237	91	97	0.332	0.093	3.310e-12	68.2	274	1046	1
DhA03G021510.1	tr|A0A089WU92|A0A089WU92_KALFE	34.082	260	258	0.956	0.505	4.580e-41	149.0	272	511	1
DhA03G022680.1	tr|Q2ABR7|Q2ABR7_ORYSJ	27.803	209	200	0.716	0.238	4.630e-11	65.1	292	840	1
DhA03G023180.1	tr|A0A089WU92|A0A089WU92_KALFE	38.214	268	270	0.985	0.564	1.650e-61	202.0	272	479	1
DhA03G023890.1	tr|Q9S759|Q9S759_KALFE	31.418	256	255	0.934	0.507	3.270e-40	147.0	274	503	1
DhA03G024310.1	tr|Q9S759|Q9S759_KALFE	44.403	265	267	0.967	0.492	8.610e-73	233.0	274	543	1
DhA03G025900.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	28.571	279	255	0.930	0.270	3.190e-25	107.0	300	946	1
DhA03G026190.1	tr|A0A089WU92|A0A089WU92_KALFE	31.481	262	262	0.963	0.724	2.390e-38	139.0	272	362	1
DhA03G026320.1	tr|Q9S759|Q9S759_KALFE	31.783	248	253	0.905	0.508	2.080e-34	131.0	274	498	1
DhA03G026610.1	tr|Q5EC59|Q5EC59_MAIZE	28.743	159	164	0.556	0.172	5.990e-12	67.8	286	953	1
DhA03G027290.1	tr|A0A3L6FW63|A0A3L6FW63_MAIZE	35.593	118	111	0.401	0.151	4.830e-12	67.8	294	734	1
DhA03G028930.1	tr|Q9S759|Q9S759_KALFE	28.571	225	245	0.821	0.445	1.040e-22	99.0	274	551	1
DhA03G030430.1	sp|Q9SPK4|PPCK1_ARATH	25.402	263	305	0.926	0.588	8.790e-20	90.5	284	519	1
DhA03G031030.1	sp|Q9SPK4|PPCK1_ARATH	27.751	191	203	0.673	0.487	2.700e-11	65.1	284	417	1
DhA04G001130.1	tr|Q9S759|Q9S759_KALFE	25.911	239	235	0.872	0.294	4.970e-12	67.4	274	800	1
DhA04G001660.1	tr|Q9S759|Q9S759_KALFE	29.204	219	216	0.799	0.242	7.450e-14	73.2	274	891	1
DhA04G001700.1	tr|Q9S759|Q9S759_KALFE	31.278	219	216	0.799	0.268	5.910e-15	76.3	274	806	1
DhA04G001810.1	tr|Q9S759|Q9S759_KALFE	30.000	219	216	0.799	0.280	1.230e-14	75.5	274	772	1
DhA04G005500.1	tr|Q5EC59|Q5EC59_MAIZE	28.448	220	224	0.769	0.316	3.550e-11	65.1	286	708	1
DhA04G005710.1	tr|A0A089WU92|A0A089WU92_KALFE	37.500	91	95	0.335	0.113	6.530e-13	70.1	272	844	1
DhA04G005720.1	tr|A0A089WU92|A0A089WU92_KALFE	43.750	78	79	0.287	0.118	1.210e-12	69.3	272	672	1
DhA04G005810.1	tr|Q2ABR7|Q2ABR7_ORYSJ	33.088	131	126	0.449	0.147	8.070e-11	64.3	292	859	1
DhA04G008040.1	tr|A0A089WU92|A0A089WU92_KALFE	26.432	206	213	0.757	0.250	2.490e-11	65.5	272	853	1
DhA04G008290.1	tr|Q5EC59|Q5EC59_MAIZE	30.909	213	211	0.745	0.321	2.000e-14	74.7	286	657	1
DhA04G008350.1	tr|A0A3L6F0R5|A0A3L6F0R5_MAIZE	25.217	217	198	0.723	0.313	3.810e-11	65.5	300	633	1
DhA04G008410.1	tr|Q5EC59|Q5EC59_MAIZE	29.091	213	211	0.745	0.352	7.490e-12	67.0	286	599	1
DhA04G008490.1	tr|Q5EC59|Q5EC59_MAIZE	30.909	213	211	0.745	0.322	2.300e-14	74.7	286	656	1
DhA04G008510.1	sp|Q93VK0|PPCK2_ARATH	30.000	209	213	0.752	0.321	1.550e-12	68.9	278	664	1
DhA04G008530.1	tr|Q5EC59|Q5EC59_MAIZE	28.899	211	209	0.738	0.318	9.400e-11	63.9	286	658	1
DhA04G008590.1	tr|Q5EC58|Q5EC58_MAIZE	28.899	209	192	0.701	0.289	7.500e-12	67.4	298	664	1
DhA04G009360.1	sp|Q93VK0|PPCK2_ARATH	27.679	215	214	0.773	0.287	2.590e-12	68.6	278	745	1
DhA04G009370.1	tr|Q2ABP5|Q2ABP5_ORYSJ	29.524	202	198	0.709	0.269	3.300e-12	68.2	285	737	1
DhA04G010270.1	tr|A0A089WU92|A0A089WU92_KALFE	36.538	100	102	0.368	0.130	2.300e-12	68.6	272	785	1
DhA04G010780.1	tr|Q9S759|Q9S759_KALFE	31.658	191	192	0.697	0.240	2.700e-14	74.3	274	800	1
DhA04G010810.1	tr|Q9S759|Q9S759_KALFE	30.457	191	191	0.697	0.238	3.350e-13	71.2	274	801	1
DhA04G010820.1	tr|A0A3L6FW63|A0A3L6FW63_MAIZE	29.907	208	195	0.707	0.241	5.160e-11	65.1	294	810	1
DhA04G010840.1	tr|Q9S759|Q9S759_KALFE	31.841	191	192	0.697	0.242	1.300e-13	72.4	274	795	1
DhA04G010850.1	tr|Q9S759|Q9S759_KALFE	31.156	191	192	0.697	0.240	5.150e-12	67.4	274	799	1
DhA04G010870.1	tr|Q9S759|Q9S759_KALFE	31.188	194	195	0.708	0.244	4.280e-12	67.8	274	798	1
DhA04G010890.1	tr|Q9S759|Q9S759_KALFE	31.500	191	192	0.697	0.240	7.710e-14	72.8	274	799	1
DhA04G010900.1	tr|Q5EC59|Q5EC59_MAIZE	30.693	195	192	0.682	0.260	1.950e-11	65.9	286	739	1
DhA04G010940.1	tr|Q9S759|Q9S759_KALFE	31.197	226	222	0.825	0.280	2.270e-18	86.3	274	794	1
DhA04G010950.1	tr|Q9S759|Q9S759_KALFE	27.155	225	221	0.821	0.278	3.090e-12	68.2	274	795	1
DhA04G010960.1	tr|Q9S759|Q9S759_KALFE	35.772	118	117	0.431	0.142	9.850e-15	75.5	274	826	1
DhA04G013190.1	sp|Q9SPK4|PPCK1_ARATH	31.449	263	275	0.926	0.814	6.550e-35	130.0	284	338	1
DhA04G013700.1	tr|Q2ABR7|Q2ABR7_ORYSJ	28.821	216	209	0.740	0.312	8.300e-11	64.3	292	669	1
DhA04G014960.1	tr|Q9S759|Q9S759_KALFE	27.365	257	292	0.938	0.415	7.780e-24	102.0	274	703	1
DhA04G014990.1	tr|Q5EC59|Q5EC59_MAIZE	38.614	101	96	0.353	0.210	2.240e-11	65.5	286	457	1
DhA04G015800.1	tr|Q9S759|Q9S759_KALFE	28.141	192	196	0.701	0.177	5.020e-12	67.8	274	1105	1
DhA04G017180.1	tr|Q2ABP5|Q2ABP5_ORYSJ	32.381	196	197	0.688	0.546	2.190e-11	65.1	285	361	1
DhA04G017570.1	tr|A0A089WU92|A0A089WU92_KALFE	36.275	98	100	0.360	0.145	1.470e-11	66.2	272	689	1
DhA04G019350.1	tr|Q9S759|Q9S759_KALFE	42.537	265	267	0.967	0.479	9.790e-64	210.0	274	557	1
DhA04G019990.1	sp|Q9SPK4|PPCK1_ARATH	28.821	211	212	0.743	0.252	7.660e-11	64.3	284	842	1
DhA04G020000.1	tr|Q9S759|Q9S759_KALFE	28.436	193	194	0.704	0.260	9.330e-11	63.5	274	747	1
DhA04G020030.1	tr|Q9S759|Q9S759_KALFE	28.436	193	194	0.704	0.265	9.700e-11	63.5	274	732	1
DhA04G020210.1	sp|Q93VK0|PPCK2_ARATH	27.835	185	188	0.665	0.201	1.260e-15	78.6	278	934	1
DhA04G020460.1	tr|Q9S759|Q9S759_KALFE	34.337	162	165	0.591	0.396	2.600e-19	88.6	274	417	1
DhA04G020600.1	sp|Q9SPK4|PPCK1_ARATH	29.915	223	223	0.785	0.296	6.420e-17	82.4	284	753	1
DhA04G021370.1	tr|Q5EC59|Q5EC59_MAIZE	30.693	188	187	0.657	0.221	4.980e-11	64.7	286	845	1
DhA04G022380.1	tr|A0A089WU92|A0A089WU92_KALFE	29.469	196	202	0.721	0.246	1.180e-12	69.3	272	821	1
DhA04G023600.1	tr|Q9S759|Q9S759_KALFE	31.034	257	255	0.938	0.222	2.120e-33	130.0	274	1149	1
DhA04G024590.1	tr|A0A089WU92|A0A089WU92_KALFE	27.184	196	200	0.721	0.535	9.680e-12	66.2	272	374	1
DhA04G025040.1	sp|Q9SPK4|PPCK1_ARATH	32.950	257	258	0.905	0.843	2.170e-33	125.0	284	306	1
DhA04G025290.1	tr|A0A089WU92|A0A089WU92_KALFE	31.818	258	258	0.949	0.656	1.200e-35	132.0	272	393	1
DhA04G025470.1	sp|Q9SPK4|PPCK1_ARATH	29.245	210	202	0.739	0.287	7.550e-22	96.7	284	704	1
DhA05G001010.1	sp|Q93VK0|PPCK2_ARATH	34.389	209	210	0.752	0.494	2.730e-25	105.0	278	425	1
DhA05G001310.1	sp|Q9SPK4|PPCK1_ARATH	28.428	263	289	0.926	0.686	2.360e-26	108.0	284	421	1
DhA05G001970.1	tr|Q5EC59|Q5EC59_MAIZE	39.048	97	104	0.339	0.253	4.740e-14	73.2	286	411	1
DhA05G002260.1	tr|A0A089WU92|A0A089WU92_KALFE	44.151	261	263	0.960	0.502	5.950e-73	233.0	272	524	1
DhA05G002270.1	tr|A0A089WU92|A0A089WU92_KALFE	43.396	261	263	0.960	0.648	3.540e-69	220.0	272	406	1
DhA05G003120.1	tr|A0A089WU92|A0A089WU92_KALFE	42.751	265	267	0.974	0.459	1.080e-68	224.0	272	582	1
DhA05G003150.1	tr|Q9S759|Q9S759_KALFE	43.542	268	270	0.978	0.455	1.720e-71	231.0	274	594	1
DhA05G004210.1	tr|A0A089WU92|A0A089WU92_KALFE	35.075	263	258	0.967	0.921	2.390e-47	160.0	272	280	1
DhA05G004260.1	sp|Q9SPK4|PPCK1_ARATH	32.234	263	264	0.926	0.349	1.610e-29	119.0	284	757	1
DhA05G004360.1	tr|A0A089WU92|A0A089WU92_KALFE	25.926	255	284	0.938	0.736	1.360e-19	89.0	272	386	1
DhA05G004610.1	tr|Q5EC58|Q5EC58_MAIZE	29.048	207	190	0.695	0.179	5.310e-14	73.9	298	1059	1
DhA05G004670.1	tr|Q9S759|Q9S759_KALFE	32.342	263	261	0.960	0.311	3.620e-28	115.0	274	840	1
DhA05G004860.1	tr|Q9S759|Q9S759_KALFE	30.797	251	268	0.916	0.395	9.510e-26	107.0	274	678	1
DhA05G006310.1	sp|Q9SPK4|PPCK1_ARATH	25.484	260	304	0.915	0.274	4.360e-15	77.0	284	1108	1
DhA05G006480.1	tr|Q5EC59|Q5EC59_MAIZE	34.082	258	253	0.902	0.769	1.480e-21	94.0	286	329	1
DhA05G006490.1	tr|Q2ABR6|Q2ABR6_ORYSJ	29.333	288	277	0.944	0.810	1.170e-17	83.6	305	342	1
DhA05G006580.1	tr|Q9S759|Q9S759_KALFE	31.228	248	280	0.905	0.221	1.500e-33	130.0	274	1266	1
DhA05G006610.1	tr|Q9S759|Q9S759_KALFE	29.851	258	256	0.942	0.600	4.360e-34	129.0	274	427	1
DhA05G006960.1	sp|Q9SPK4|PPCK1_ARATH	33.077	255	250	0.898	0.389	1.870e-25	107.0	284	642	1
DhA05G007480.1	tr|Q9S759|Q9S759_KALFE	41.045	265	267	0.967	0.466	3.020e-60	201.0	274	573	1
DhA05G009080.1	tr|A0A089WU92|A0A089WU92_KALFE	41.935	92	93	0.338	0.215	7.340e-12	66.6	272	433	1
DhA05G009340.1	tr|A0A089WU92|A0A089WU92_KALFE	28.897	258	256	0.949	0.447	1.440e-24	104.0	272	573	1
